Column1;cond;instr;confidence
R_3PLgIw9L1GB8GAp;3;Answer the following questions with no effort at all.;1
R_vCU7eGJe0RvjlCx;3;to try and trick the system by answering randomly but looking like we wernt;1
R_1DqnhyfwWojmbBh;3;Answer the questions with NO EFFORT AT ALL;1
R_yQRGijG9bGS0q2t;3;To not make an effort answering the questions, but to make it look like I made an effort.;1
R_26kH6a1xf1bHyxV;3;Answer the rest of the questions with no effort at all, but try to fool the statistical model into thinking that I was responding conscientiously, or with effort.;1
R_3nIpUceoix1cH0w;3;to be fast and pay attention to checks;3
R_TouSSpq9KAyD37X;3;To give no thoughts to the following questions to see if their survey questions could be tricked.;1
R_2wExeEtrxob3WHO;3;To answer the rest of the questions without effort, but make it look believable.  ;1
R_2aKa7w4isNlvUWY;3;;2
R_Z9SaJc1cJQdQRQ5;3;To act like I was not using effort to answer the questions;1
R_XBXOXNcrRbH1F73;3;To try and trick the computer into thinking I was responding purposefully when I was really responding quickly and without thought.;1
R_T6IzYko5h0kQ08h;3;answer randomly to try and fool the bot detector;1
R_2v0TR4zSMVfbAl0;3;To stop putting effort into answering the questions, but to make it look like I'm putting effort in.;1
R_2D5Dis4cc9YCXgR;3;Answer random for rest;1
R_QhaqSaBUIap4bVT;3;;2
R_3MJqlyht2W5w2t0;3;;2
R_2R3qEInMwvR1KDo;3;To put in very little effort into my answers, but to try and trick the control (check) questions. ;2
R_30kStf3HaIZrqUO;3;To try and answer honestly to the questions while keeping an even flow;3
R_3KwKEc5aKDknoI7;3;To answer with no effort at all.;1
R_3EMYjOOjFaQ1Mn3;3;answer with no effort to try and fool your statistical model;1
R_1OrarlRP4rYtmD1;3;To answer quickly in a way that I thought could trick you into thinking I was answering honestly.;1
R_3imwqoRpCLCrDQ8;3;To try to trick your system. You also just had a question like how did you not answer the survey. ;2
R_1Q3GY7JBAO0dDcl;3; answer questions with NO EFFORT AT ALL;1
R_0GPfbw0HzhTcbFn;3;;2
R_1FrzDqAmXNFzxUr;3;;2
R_2wLvFOOj1DpQdGU;3;To try to trick the system and respond like I cared about my responses ;2
R_3EQBJk0NNbtIEgF;3;to answer randomly, but make it look like a choice... I failed, because once I read the question, i gave an honest answer;3
R_1rxj5ZKHk6NVoBz;3;Try to trick the statistical model. ;2
R_bg8xFCbUUsCTOCZ;3;answer with no effort to trick system;1
R_1eFOoDTIhz2iTBm;3;To try and trick the computer system and not to put in too much thought in the answers;3
R_1f3lg4oVFlRWaZJ;3;;2
R_1OV8OA3DHnJHVVN;3;Not to make an effort;2
R_3e5gqtmv1X79o1x;3;To put in no effort in answering the questions but try to trick the computer into thinking I was putting in effort;1
R_22EK7EZiFllYM2k;3;;2
R_2aPlgaZRdxeSux1;3;To try and answer randomly to trick the statistics;1
R_3MrO8mmkMST0elw;3;Try to trick the program but dont be obvious;1
R_2uEtmnR5GOJbnNU;3;don't make a lot of effort answering the questions;2
R_2TAVPl5rE21LcEb;3;To try tricking the attention checks.;2
R_2tFHwsOPKRZJsJg;3;Answer the following questions without much thought or effort.;2
R_XN6Fsuzzb7nZR6N;3;Not to necessarily truthfully.;2
R_1MWoS5zOGPyhILX;3;answer without thinking at all to fool the system;1
R_afQYm9hqqJeqE7v;3;Answer quickly and like you are giving thought to test your accuracy algorithm;1
R_26c2T8qK77RN97I;3;The second instruction was to put no effort at all for the answers but make it look like that you put some effort on answering question.;1
R_2X066FI0UVkNBga;3;stop making an effort, but try to make it look like you are making an effort;1
R_1N2pQsRscfPamAe;3;;2
R_3meQgYZrwJI0XsR;3;To keep answering the questions regardless of the attention checks in the next part. ;3
R_2CZnoHNdVZUFXD5;3;that there would be some tricks;3
R_RqvlI5s73d5MDT3;3;to answer randomly but to make it appear that I was trying;1
R_3GAIiBXPBsWLlp1;3;answer to the best of your opinion;3
R_3KTMR98GhtzYDaS;3;Win a new car today!;3
R_3fI7AyrOiyANrCa;3;Answer without effort.  Kind of.;3
R_Rn3T2NSgVvRBfHP;3;;2
R_2ZP9waVpoirF7se;3;the instructions in the middle were to not over think the question and rather answer without thinking to try and trick the program.;3
R_7TFIljYZnRy5lPr;3;to give little effort;3
